tweet_id,text,Intent,Requires_Escalation
19540,"@Uber_Support Your support sucks. I DMed you guys for help and you forwarded me to your help page, but if you read my DM you would see I can't even login.",General_Inquiry,False
3807,Hey @115873 I’m currently in a car with the worlds dumbest driver.  Y’all need to start checking these fools,Ride_Issue,False
31981,"@115873 worst service, no place to report frauds? You are beggers. #fraud  company",General_Inquiry,False
18212,"@115873 still it ask me to pay to next driver, why I have to pay, and it wasted around my 1 hour and you asshole will just say sorry for this",Ride_Issue,False
20786,"@115873 I raised one complaint yesterday, yet no action. Ur driver is rude, threaten me in mid journey and u do nothing...",Ride_Issue,True
45623,Hey @115873 how do I report a reckless Uber driver? One of your drivers just almost killed me on the freeway.  He was doing over 100mph.,Ride_Issue,False
2478,When your @115873 driver accuses you of stealing his “hustle” money from his cup holder but then finds it under his seat and was rude and disrespectful &amp; denies you a refund...,Payment_Account,False
3161,@Uber_Support Already spoke with you guys through the app. Wasn't helpful.,General_Inquiry,False
11559,"@Uber_Support thanks, however this is a link to the US Uber details. Is there somebody who can help for Australian drivers?",Ride_Issue,False
2476,@Uber_Support I already tried this. It failed.,General_Inquiry,False
16492,Hey @115873 when were you planning to inform me you were taking almost 60% of my ride?!? When did you buy my car ?!? Time to #BoycottUber https://t.co/KU8U5De9Cg,General_Inquiry,False
3813,"@115873 ordered a car, took longer than the suggested 6 mins, then you wanted to charge me a £5 cancellation fee. You’re having a bubble bath!",Payment_Account,False
29582,"@Uber_Support Why Uber is not sending my ""Uber business profile travel report""?The last report i received, was dated 9th Oct.Please fix it.",General_Inquiry,False
10706,Want’s the point of Uber VIP when 4 of my friends that aren’t VIP’s all got 50% deals ? @Uber_Support,General_Inquiry,False
2726,@Uber_Support I ordered food through uber eats. I did not get the delivery. Please contact me.,General_Inquiry,False
45622,@Uber_Support Luckily I wasn’t riding in the car with him. Don’t know who he was but here’s his license plate. https://t.co/Ne4L7UHCfy,Ride_Issue,False
44062,@115873 better not get charged for this https://t.co/4falASw9aZ,Payment_Account,False
4923,@Uber_Support how do you add a driver?,Ride_Issue,False
17688,@Uber_Support Again https://t.co/a2XigeMqpr,General_Inquiry,False
12623,Is there an UberEats for candy delivery?,General_Inquiry,False
3802,@Uber_Support WTF??? Trying to book &amp; it just says Oops. Trying to get help &amp; nothing is working. HELP!!! I need to book urgently #uberdrama,General_Inquiry,False
35367,@123713 Hi is this uber eats?,General_Inquiry,False
44644,"@Uber_Support Over the weekend I order UberEats from Hooters in Charlotte. The food was cold and 2 items were missing, but only got a partial refund. Full refund needed.",Payment_Account,False
38901,"@Uber_Support hi, your agent marked the case resolved without actually resolving it, is there someone I can escalate the issue to?",Ride_Issue,False
20079,@1285 what happen today not able to connect with uber network. @115873 @Uber_Support https://t.co/JeVHKfKRqV,General_Inquiry,False
35356,@115873 @Uber_Support am trying to  explaining the issue with customer service along with the screenshot but they seem to not get it. Pls help,General_Inquiry,False
21604,@Uber_Support And the driver doesn't allow us to take even two bags..,Ride_Issue,False
3717,"#uber : how funny when Uber Ask you to add even 10/- incase of low balance, and then deduct 50/- for their driver cancelling the ride.😡😡😡",Ride_Issue,False
44040,"With such issues, can we really rely on @115873 @Uber_Support  @115879 @AskLyft services ?
Also, they don't have any customer care to contact for immediate assistance. 

#UberStories #LyftStories #NotGood https://t.co/kM9RICCVXp",General_Inquiry,False
1800,@115873 hi just for a ride and it seemed to think I wanted to go to my original location. I canceled trip but want to see about being credited,Ride_Issue,False
28989,@Uber_Support Just had an order that was out for delivery cancelled by the delivery driver. How is this possible? Where's my food?,Ride_Issue,False
16910,@Uber_Support you don't say if drivers are receiving award wages.,Ride_Issue,False
17694,@119912 @Uber_Support What the? What the? I didn’t know that. Is this also on iOS?,General_Inquiry,False
28501,"@115873 and their Support is... uugghhh @uber_support
maybe I am having incorrect expectations from their support team.",General_Inquiry,False
2426,@Uber_Support Or even reply.,General_Inquiry,False
20084,@Uber_Support it's been 3 days after several reminders.....no one is replying...when it comes to refund...Uber support is vanished.... https://t.co/MJeuT1clHg,Payment_Account,False
13986,UBER EATS IS THE WORST. DO NOT USE. @Uber_Support #UBER,General_Inquiry,False
16928,"@115873 Furious. You have let me down twice tonight with useless drivers leaving letting me, a women on her own down, incredibly disappointed.",Ride_Issue,False
18429,@115873 hi I was incorrectly charged 3 times the quoted price for my Uber pool. Can I get a refund &amp; join the ride pass program?,Payment_Account,False
38279,@115873 many email to get $1.00 back from a toll. Toll Receipt proves I paid.  Uber Help says they confirm it was $2.00. I paid $3.00,Payment_Account,False
21596,"@Uber_Support Hi. My driver didn't show up. But in the app, it shows that I'm on my way to my destination. Clear this out for me please.",Ride_Issue,False
21995,"@Uber_Support not impressed ordered &amp; advised to come into reception desk, driver never arrives so no food and then get double charged",Payment_Account,False
8607,@115873 How about your drivers in London don’t cancel on you after 15 minutes of being ‘on the way’ then charge you anyway. Happened several times.,Payment_Account,False
36691,@115873 whe. Your driver cancels after you wait forever because you have a dog #somuchfun -.-,Ride_Issue,False
6991,. @Uber_Support I ORDERED CHIPS AND QUESO AND I GOT NO CHIPS PLEASE HELP,General_Inquiry,False
35363,@Uber_Support I wana change my uber profile from Australia to Malaysia.,General_Inquiry,False
38906,The crooks @115873 trying to charge me almost $100 for a ride from Dec 2016 that was deemed fraudulent by PayPal who reversed the charge 😒😒😒,Payment_Account,True
31512,@115873 @Uber_Support Support team has stopped responding. Can someone look into this???,General_Inquiry,False
18211,"@Uber_Support My contact no. for that account is 9541243687, first booking almost waste my 35 mins, and if I book second one",Payment_Account,False
43389,@Uber_Support My fair was adjusted by THREE DOLLARS. Lol. I need a refund for the whole trip. And for the hour I’ve spent dealing with this. https://t.co/VBeqK0v3Ge,Payment_Account,False
775,@Uber_Support I’m not getting your texts. https://t.co/GhefNjQTfg,General_Inquiry,False
42659,@Uber_Support called this uber like 8 minutes ago and he just started moving https://t.co/2VoSRpHuf7,General_Inquiry,False
